Category,Label,Text
physics,0,recognition extraordinary services rendered discovery remarkable rays subsequently named
medicine,1,work serum therapy especially application diphtheria opened new road domain medical science thereby placed hands physician victorious weapon illness deaths
peace,2,humanitarian efforts help wounded soldiers create international understanding
peace,2,lifelong work international peace conferences diplomacy arbitration
literature,3,special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect
chemistry,4,recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions
chemistry,4,recognition extraordinary services rendered work sugar purine syntheses
literature,3,greatest living master art historical writing special reference monumental work IA history RomeI
peace,2,eminently practical administration InterParliamentary Union
peace,2,untiring skilful directorship Bern Peace Bureau
physics,0,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
medicine,1,work malaria shown enters organism thereby laid foundation successful research disease methods combating
physics,0,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena
physics,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
peace,2,longstanding devoted effort favour ideas peace arbitration
physics,0,recognition extraordinary services rendered discovery spontaneous radioactivity
physics,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
physics,0,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel
medicine,1,recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened new avenue medical science
literature,3,tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit
chemistry,4,recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation
literature,3,recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama
physics,0,investigations densities important gases discovery argon connection studies
peace,2,striving public law develop peaceful ties nations make laws war humane
chemistry,4,recognition services discovery inert gaseous elements air determination place periodic system
medicine,1,recognition work physiology digestion knowledge vital aspects subject transformed enlarged
literature,3,recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work Provenccedilal philologist
chemistry,4,recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds
literature,3,outstanding merits epic writer
physics,0,work cathode rays
peace,2,audacity oppose horrors war
medicine,1,investigations discoveries relation tuberculosis
literature,3,consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces
peace,2,role bringing end bloody war recently waged two worlds great powers Japan Russia
physics,0,recognition great merits theoretical experimental investigations conduction electricity gases
medicine,1,recognition work structure nervous system
chemistry,4,recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called
medicine,1,recognition work structure nervous system
medicine,1,recognition work role played protozoa causing diseases
chemistry,4,biochemical researches discovery cellfree fermentation
literature,3,consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author
peace,2,decisive influence upon conduct outcome Hague Geneva Conferences
peace,2,work press peace meetings public private understanding France Italy
physics,0,optical precision instruments spectroscopic metrological investigations carried aid
chemistry,4,investigations disintegration elements chemistry radioactive substances
literature,3,recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life
peace,2,long time work cause peace politicians peace society leaders orators authors
medicine,1,recognition work immunity
medicine,1,recognition work immunity
peace,2,long time work cause peace politicians peace society leaders orators authors
physics,0,method reproducing colours photographically based phenomenon interference
physics,0,recognition contributions development wireless telegraphy
medicine,1,work physiology pathology surgery thyroid gland
literature,3,appreciation lofty idealism vivid imagination spiritual perception characterize writings
chemistry,4,recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction
physics,0,recognition contributions development wireless telegraphy
peace,2,prominent position international movement peace arbitration
peace,2,prominent position international movement peace arbitration
literature,3,tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories
peace,2,acting link peace societies various countries helping organize world rallies international peace movement
physics,0,work equation state gases liquids
medicine,1,recognition contributions knowledge cell chemistry made work proteins including nucleic substances
chemistry,4,recognition services organic chemistry chemical industry pioneer work field alicyclic compounds
peace,2,effort expose fight considers main cause war namely anarchy international relations
peace,2,role cofounder Institut de droit international initiator Conferences International Private Law Conférences de Droit international privé Hague pioneer field international legal relations
chemistry,4,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
chemistry,4,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element
physics,0,discoveries regarding laws governing radiation heat
literature,3,appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations
medicine,1,work dioptrics eye
literature,3,primarily recognition fruitful varied outstanding production realm dramatic art
medicine,1,recognition work vascular suture transplantation blood vessels organs
chemistry,4,method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years
chemistry,4,discovery socalled Grignard reagent recent years greatly advanced progress organic chemistry
physics,0,invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys
peace,2,bringing better understanding countries North South America initiating important arbitration agreements United States countries
medicine,1,recognition work anaphylaxis
chemistry,4,recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry
peace,2,unparalleled contribution organization peaceful internationalism
literature,3,profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed English words part literature West
physics,0,investigations properties matter low temperatures led inter alia production liquid helium
physics,0,discovery diffraction Xrays crystals
medicine,1,work physiology pathology vestibular apparatus
chemistry,4,recognition accurate determinations atomic weight large number chemical elements
physics,0,services analysis crystal structure means Xrays
physics,0,services analysis crystal structure means Xrays
chemistry,4,researches plant pigments especially chlorophyll
literature,3,tribute lofty idealism literary production sympathy love truth described different types human beings
literature,3,recognition significance leading representative new era literature
peace,2,efforts take care wounded soldiers prisoners war families
peace,2,efforts take care wounded soldiers prisoners war families
peace,2,efforts take care wounded soldiers prisoners war families
physics,0,discovery characteristic Roumlntgen radiation elements
literature,3,varied rich poetry inspired lofty ideals
literature,3,authentic descriptions presentday life Denmark
physics,0,recognition services rendered advancement Physics discovery energy quanta
chemistry,4,synthesis ammonia elements
peace,2,role founder League Nations
medicine,1,discoveries relating immunity
physics,0,discovery Doppler effect canal rays splitting spectral lines electric fields
literature,3,special appreciation epic IOlympian SpringI
physics,0,recognition service rendered precision measurements Physics discovery anomalies nickel steel alloys
chemistry,4,recognition work thermochemistry
medicine,1,discovery capillary motor regulating mechanism
peace,2,longstanding contribution cause peace justice prominent role establishment League Nations
literature,3,monumental work IGrowth SoilI
literature,3,recognition brilliant literary achievements characterized nobility style profound human sympathy grace true Gallic temperament
peace,2,lifelong contributions cause peace organized internationalism
physics,0,services Theoretical Physics especially discovery law photoelectric effect
chemistry,4,contributions knowledge chemistry radioactive substances investigations origin nature isotopes
peace,2,lifelong contributions cause peace organized internationalism
physics,0,services investigation structure atoms radiation emanating
peace,2,leading role repatriation prisoners war international relief work League Nations High Commissioner refugees
chemistry,4,discovery means mass spectrograph isotopes large number nonradioactive elements enunciation wholenumber rule
medicine,1,discovery fixed relationship consumption oxygen metabolism lactic acid muscle
literature,3,happy manner continued illustrious traditions Spanish drama
medicine,1,discovery relating production heat muscle
medicine,1,discovery insulin
medicine,1,discovery insulin
physics,0,work elementary charge electricity photoelectric effect
chemistry,4,invention method microanalysis organic substances
literature,3,always inspired poetry highly artistic form gives expression spirit whole nation
literature,3,great national epic IThe PeasantsI
medicine,1,discovery mechanism electrocardiogram
physics,0,discoveries research field Xray spectroscopy
physics,0,discovery laws governing impact electron upon atom
physics,0,discovery laws governing impact electron upon atom
peace,2,crucial role bringing Locarno Treaty
peace,2,crucial role bringing Dawes Plan
chemistry,4,demonstration heterogenous nature colloid solutions methods used since become fundamental modern colloid chemistry
literature,3,work marked idealism humanity stimulating satire often infused singular poetic beauty
peace,2,crucial role bringing Locarno Treaty
peace,2,crucial role bringing Locarno Treaty
literature,3,idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general
medicine,1,discovery Spiroptera carcinoma
physics,0,work discontinuous structure matter especially discovery sedimentation equilibrium
chemistry,4,work disperse systems
literature,3,recognition rich vitalizing ideas brilliant skill presented
peace,2,contribution emergence France Germany public opinion favours peaceful international cooperation
physics,0,discovery effect named
physics,0,method making paths electrically charged particles visible condensation vapour
medicine,1,discovery therapeutic value malaria inoculation treatment dementia paralytica
chemistry,4,investigations constitution bile acids related substances
peace,2,contribution emergence France Germany public opinion favours peaceful international cooperation
medicine,1,work typhus
chemistry,4,services rendered research constitution sterols connection vitamins
physics,0,work thermionic phenomenon especially discovery law named
literature,3,principally powerful descriptions Northern life Middle Ages
chemistry,4,investigations fermentation sugar fermentative enzymes
chemistry,4,investigations fermentation sugar fermentative enzymes
medicine,1,discovery antineuritic vitamin
physics,0,discovery wave nature electrons
literature,3,principally great novel IBuddenbrooksI steadily increased recognition one classic works contemporary literature
medicine,1,discovery growthstimulating vitamins
peace,2,crucial role bringing BriandKellogg Pact
literature,3,vigorous graphic art description ability create wit humour new types characters
medicine,1,discovery human blood groups
chemistry,4,researches constitution haemin chlorophyll especially synthesis haemin
peace,2,promoting Christian unity helping create new attitude mind necessary peace nations become reality
physics,0,work scattering light discovery effect named
medicine,1,discovery nature mode action respiratory enzyme
chemistry,4,recognition contributions invention development chemical high pressure methods
chemistry,4,recognition contributions invention development chemical high pressure methods
literature,3,poetry Erik Axel Karlfeldt
peace,2,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
peace,2,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
medicine,1,discoveries regarding functions neurons
medicine,1,discoveries regarding functions neurons
physics,0,creation quantum mechanics application inter alia led discovery allotropic forms hydrogen
literature,3,distinguished art narration takes highest form IThe Forsyte SagaI
chemistry,4,discoveries investigations surface chemistry
physics,0,discovery new productive forms atomic theory
physics,0,discovery new productive forms atomic theory
peace,2,exposed pen illusion war presented convincing plea international cooperation peace
medicine,1,discoveries concerning role played chromosome heredity
literature,3,strict artistry carried classical Russian traditions prose writing
medicine,1,discoveries concerning liver therapy cases anaemia
chemistry,4,discovery heavy hydrogen
literature,3,bold ingenious revival dramatic scenic art
medicine,1,discoveries concerning liver therapy cases anaemia
medicine,1,discoveries concerning liver therapy cases anaemia
peace,2,untiring struggle courageous efforts Chairman League Nations Disarmament Conference 193134
chemistry,4,recognition synthesis new radioactive elements
chemistry,4,recognition synthesis new radioactive elements
physics,0,discovery neutron
medicine,1,discovery organizer effect embryonic development
peace,2,burning love freedom thought expression valuable contribution cause peace
chemistry,4,contributions knowledge molecular structure investigations dipole moments diffraction Xrays electrons gases
medicine,1,discoveries relating chemical transmission nerve impulses
physics,0,discovery cosmic radiation
medicine,1,discoveries relating chemical transmission nerve impulses
physics,0,discovery positron
peace,2,role father Argentine Antiwar Pact 1933 also used means mediate peace Paraguay Bolivia 1935
